codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao,timestamp
901008,,22,-23.000991,-43.364898,2025-02-17 11:45:00,10.9,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],149830.2,266,1.0,2025-02-17 09:24:49.047016
901011,RIV8A74,22,-23.00082,-43.330847,2025-02-17 12:24:31,59.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],160295.4,278,1.0,2025-02-17 09:24:49.047016
901018,,35,-22.964902,-43.3914,2025-02-17 10:43:00,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],131266.2,267,0.0,2025-02-17 09:24:49.047016
901012,,52,-22.965123,-43.391274,2025-02-17 11:40:01,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],134078.1,68,0.0,2025-02-17 09:24:49.047016
901014,,22,-23.001046,-43.330193,2025-02-17 12:24:30,24.7,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],159424.6,103,1.0,2025-02-17 09:24:49.047016
901007,,22,-23.000978,-43.364708,2025-02-17 12:23:43,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],152670.1,269,1.0,2025-02-17 09:24:49.047016
901009,,35,-22.996507,-43.365931,2025-02-17 12:24:43,41.5,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],116194.7,177,1.0,2025-02-17 09:24:49.047016
901013,,22,-23.000856,-43.366671,2025-02-17 12:10:10,18.3,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],152729.4,52,1.0,2025-02-17 09:24:49.047016
901010,RJM8G30,50,-23.000127,-43.343877,2025-02-17 12:24:33,41.1,,volta,50 - JARDIM OCEÂNICO X  TERMINAL CENTRO OLIMPICO (PARADOR) [VOLTA],166777.8,272,1.0,2025-02-17 09:24:49.047016
901015,,35,-22.915731,-43.3614,2025-02-17 12:24:43,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],164254.1,29,1.0,2025-02-17 09:24:49.047016
901047,,35,-23.000734,-43.36627,2025-02-17 12:23:26,0.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],37136.9,46,0.0,2025-02-17 09:24:49.047016
901017,,22,-23.0002,-43.36689,2025-02-17 12:23:59,25.1,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],135135.7,220,1.0,2025-02-17 09:24:49.047016
901063,,51,-22.853877,-43.38452,2025-02-17 12:24:31,3.3,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],225138.0,111,1.0,2025-02-17 09:24:49.047016
902319,,51,-22.853505,-43.384315,2025-02-17 12:24:27,12.2,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],14870.6,293,1.0,2025-02-17 09:24:49.047016
901006,RJA9F56,22,-23.001091,-43.365097,2025-02-17 12:08:24,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],155050.5,253,1.0,2025-02-17 09:24:49.047016
901005,RJB8E53,35,-22.878238,-43.336312,2025-02-17 12:24:28,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],195429.2,4,1.0,2025-02-17 09:24:49.047016
901004,RJQ8J80,53,-23.001104,-43.364202,2025-02-17 12:22:29,16.4,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],174397.2,358,1.0,2025-02-17 09:24:49.047016
902095,,40,-22.876846,-43.330249,2025-02-17 11:32:52,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],93648.4, ,0.0,2025-02-17 09:24:49.047016
902375,,71,-22.819854,-43.31394,2025-02-17 12:24:40,57.1,,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],1870.6,272,1.0,2025-02-17 09:24:49.047016
13409,KPY9733,10,-22.915786,-43.628365,2023-04-27 00:10:13,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, ,,2025-02-17 09:24:49.047016
KXM6403 SAVEIRO,KXM6403,0,-23.000818,-43.363584,2025-02-17 12:15:27,0.0,,,,19507.0, ,0.0,2025-02-17 09:24:49.047016
902090,,40,-23.001622,-43.364443,2025-02-17 12:24:31,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],92027.3, ,1.0,2025-02-17 09:24:49.047016
KRA7040 - GOL,KRA7040,0,-22.956989,-43.390444,2025-02-17 11:11:36,0.0,,,,48513.2, ,0.0,2025-02-17 09:24:49.047016
902334,,60,-22.88126,-43.238742,2025-02-17 12:24:18,55.5,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],59343.2,327,1.0,2025-02-17 09:24:49.047016
LSG7008 ACELLO INFRA,LSG7008,0,-22.964554,-43.391436,2025-01-18 20:03:03,0.0,,,,49467.5, ,0.0,2025-02-17 09:24:49.047016
KXE9191 PKP,KXE9191,0,-22.996597,-43.424761,2025-02-17 12:24:41,49.2,,,,11019.1,218,1.0,2025-02-17 09:24:49.047016
901057,,52,-22.973294,-43.376367,2025-02-17 12:24:47,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],208069.4,87,1.0,2025-02-17 09:24:49.047016
901003,RKM8C54,22,-23.006462,-43.314728,2025-02-17 12:24:46,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],163365.9, ,1.0,2025-02-17 09:24:49.047016
902455,,31,-23.002535,-43.365853,2025-02-17 12:10:57,0.0,,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],61071.2, ,0.0,2025-02-17 09:24:49.047016
KWB9798 - APOIO VAN,KWB9798,0,-23.000824,-43.36483,2025-02-17 12:06:15,0.0,,,,3977.3, ,0.0,2025-02-17 09:24:49.047016
901002,,53,-22.89451,-43.399657,2025-02-17 12:24:37,39.3,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],139181.0,170,1.0,2025-02-17 09:24:49.047016
902313,,71,-22.83082,-43.269315,2025-02-17 12:24:30,57.1,,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],76497.1,302,1.0,2025-02-17 09:24:49.047016
902103,,41,-22.888405,-43.346082,2025-02-17 12:24:30,28.2,,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],100117.5,213,1.0,2025-02-17 09:24:49.047016
901001,RJD7J89,22,-23.000916,-43.366773,2025-02-17 12:21:24,20.8,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],148056.3,84,1.0,2025-02-17 09:24:49.047016
901050,,22,-23.006728,-43.312402,2025-02-17 12:23:49,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],167435.4,343,0.0,2025-02-17 09:24:49.047016
901077,,52,-22.964549,-43.392204,2025-02-17 12:00:13,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],144713.7,336,0.0,2025-02-17 09:24:49.047016
903045,,17,-22.917228,-43.636877,2025-02-17 12:24:31,44.6,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],73593.2,78,1.0,2025-02-17 09:24:49.047016
902119,,40,-22.940818,-43.37251,2025-02-17 12:24:28,40.4,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],98543.9,5,1.0,2025-02-17 09:24:49.047016
901058,,51,-22.892371,-43.400236,2025-02-17 12:24:36,57.8,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],213207.0,342,1.0,2025-02-17 09:24:49.047016
902105,,40,-22.877897,-43.33622,2025-02-17 12:24:36,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],95347.7,321,1.0,2025-02-17 09:24:49.047016
901071,,52,-22.984237,-43.365775,2025-02-17 12:24:42,15.6,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],204358.9,184,1.0,2025-02-17 09:24:49.047016
